station_id,name,latitude,longitude,free_bikes,empty_slots
bca4c151d48ad9a28394ad7adb883e77,Ren Cen Plaza & Detroit Riverwalk,42.328245,-83.037643,6,16
bdd6a21f23384644bae15e53ba5000fe,Livernois & Norfolk St,42.443628,-83.141863,4,10
ccd138d64fd13f54837effe71b50a20a,*E Nine Mile Rd & Wanda St,42.461,-83.11311,2,5
ce7a0cbe0ebf7741859722bf651e66eb,*Gardner St & W Eleven Mile Rd,42.488158,-83.190037,4,2
cf2c6e5bac7ac51705663f339910af74,*Kayser Ave & E 4th St,42.48723,-83.13695,2,5
d2d4a06d645a3006f4b7edbafb8b6ab0,W Willis St & Cass Ave,42.350376,-83.063722,9,10
d3f130a56d73bb75bf3736ccb42d3382,Oak Park Blvd & Parklawn St,42.46585,-83.18742,4,3
d5d85107359bfd0a0865664e3d714cd9,*Livernois & Ferndale Project,42.45047,-83.14264,2,5
d95f2d2aad16591257674f957f41264b,14th St & Dalzelle St,42.328984,-83.075365,1,8
df144abd9bcfe0f9754df72f190c6921,*S Washington Ave & W Lincoln Ave,42.48361,-83.14633,2,5
df4ee81da073814ea9194a84b32ac7eb,Dequindre Cut Freight Yard,42.350015,-83.037746,5,3
e17e7d9de31e633c645d66825eeeb1c7,E Grand Blvd & Brush St,42.371967,-83.068081,2,11
e690f4f48384d0c33aff33d75e58d355,Mack Ave & John R St,42.348341,-83.056257,2,16
ea3315ddc9ae7222b2916b22bceb070e,E Lafayette St & Orleans St,42.338747,-83.031401,4,11
ed75a4abe78cf0390a1529c688154a1c,W McNichols Rd & Prairie St,42.4171372,-83.1449007,3,11
f00514d781180e19e960e4b6d4afbb7b,Wight St & Mt Elliott,42.341574,-83.008904,8,7
f5635262d61fab6a15849d4858e49b26,Henry Ford Hospital,42.366325,-83.084342,0,15
f81fe6a387d6324f16065613314fd0f8,E Nine Mile Rd & City Hall,42.46059,-83.13107,3,12
fee1ee572f071c3302fba6ebc8308baa,*Joe Louis Greenway & Warren Ave,42.345462,-83.147775,3,7
